[info]
Anlage=Maris Kalogerakis Sitanos
Datum=120121
[messung]
;s;Adresse;KPC;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR
;s;;%;V;A;W;V;A;W;°C;Wh
[Start]
04:15:00;300;8;;;;;;;;;
04:15:00;300;9;;;;;;;;;
04:15:00;300;10;;;;;;;;;
04:15:00;300;11;;;;;;;;;
04:15:00;300;12;;;;;;;;;
04:20:00;300;1;;;;;;;;;
04:20:00;300;2;;;;;;;;;
04:20:00;300;3;;;;;;;;;
04:20:00;300;4;;;;;;;;;
04:20:00;300;5;;;;;;;;;
04:20:00;300;6;;;;;;;;;
04:20:00;300;7;;;;;;;;;
04:20:00;300;8;;;;;;;;;
04:20:00;300;9;;;;;;;;;
04:20:00;300;10;;;;;;;;;
04:20:00;300;11;;;;;;;;;
04:20:00;300;12;;;;;;;;;
04:25:00;300;1;;;;;;;;;
04:25:00;300;2;;;;;;;;;
04:25:00;300;3;;;;;;;;;
04:25:00;300;4;;;;;;;;;
04:25:00;300;5;;;;;;;;;
04:25:00;300;6;;;;;;;;;
04:25:00;300;7;;;;;;;;;
04:25:00;300;8;;;;;;;;;
04:25:00;300;9;;;;;;;;;
04:25:00;300;10;;;;;;;;;
04:25:00;300;11;;;;;;;;;
04:25:00;300;12;;;;;;;;;
04:30:00;300;1;;;;;;;;;
04:30:00;300;2;;;;;;;;;
04:30:00;300;3;;;;;;;;;
04:30:00;300;4;;;;;;;;;
04:30:00;300;5;;;;;;;;;
04:30:00;300;6;;;;;;;;;
04:30:00;300;7;;;;;;;;;
04:30:00;300;8;;;;;;;;;
04:30:00;300;9;;;;;;;;;
04:30:00;300;10;;;;;;;;;
04:30:00;300;11;;;;;;;;;
04:30:00;300;12;;;;;;;;;
04:35:00;300;1;;;;;;;;;
04:35:00;300;2;;;;;;;;;
04:35:00;300;3;;;;;;;;;
04:35:00;300;4;;;;;;;;;
04:35:00;300;5;;;;;;;;;
04:35:00;300;6;;;;;;;;;
04:35:00;300;7;;;;;;;;;
04:35:00;300;8;;;;;;;;;
04:35:00;300;9;;;;;;;;;
04:35:00;300;10;;;;;;;;;
04:35:00;300;11;;;;;;;;;
04:35:00;300;12;;;;;;;;;
04:40:00;300;1;;;;;;;;;
04:40:00;300;2;;;;;;;;;
